"neighbourhood","Avg_Rent","month","SafetyScore"
"Beacon Hill South - Cardinal Heights","2086","1","5"
"Beacon Hill South - Cardinal Heights","2086","2","5"
"Beacon Hill South - Cardinal Heights","2086","3","5"
"Beacon Hill South - Cardinal Heights","2086","4","5"
"Beacon Hill South - Cardinal Heights","2086","5","5"
"Beacon Hill South - Cardinal Heights","2086","6","5"
"Beacon Hill South - Cardinal Heights","2086","7","5"
"Beacon Hill South - Cardinal Heights","2086","8","5"
"Beacon Hill South - Cardinal Heights","2086","9","5"
"Beacon Hill South - Cardinal Heights","2086","10","5"
"Beacon Hill South - Cardinal Heights","2086","11","5"
"Beacon Hill South - Cardinal Heights","2086","12","5"
"Braemar Park - Bel Air Heights - Copeland Park","750","1","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","2","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","3","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","4","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","5","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","6","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","7","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","8","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","9","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","10","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","11","4"
"Braemar Park - Bel Air Heights - Copeland Park","750","12","4"
"Centretown","1437","1","4"
"Centretown","1437","2","4"
"Centretown","1437","3","4"
"Centretown","1437","4","4"
"Centretown","1437","5","4"
"Centretown","1437","6","4"
"Centretown","1437","7","4"
"Centretown","1437","8","4"
"Centretown","1437","9","4"
"Centretown","1437","10","4"
"Centretown","1437","11","4"
"Centretown","1437","12","4"
"Civic Hospital-Central Park","2100","1","4"
"Civic Hospital-Central Park","2100","2","4"
"Civic Hospital-Central Park","2100","3","4"
"Civic Hospital-Central Park","2100","4","4"
"Civic Hospital-Central Park","2100","5","4"
"Civic Hospital-Central Park","2100","6","4"
"Civic Hospital-Central Park","2100","7","4"
"Civic Hospital-Central Park","2100","8","4"
"Civic Hospital-Central Park","2100","9","4"
"Civic Hospital-Central Park","2100","10","4"
"Civic Hospital-Central Park","2100","11","4"
"Civic Hospital-Central Park","2100","12","4"
"Elmvale - Eastway - Riverview - Riverview Park West","850","1","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","2","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","3","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","4","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","5","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","6","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","7","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","8","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","9","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","10","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","11","5"
"Elmvale - Eastway - Riverview - Riverview Park West","850","12","5"
"Glebe - Dows Lake","2150","1","5"
"Glebe - Dows Lake","2150","2","5"
"Glebe - Dows Lake","2150","3","5"
"Glebe - Dows Lake","2150","4","5"
"Glebe - Dows Lake","2150","5","5"
"Glebe - Dows Lake","2150","6","5"
"Glebe - Dows Lake","2150","7","5"
"Glebe - Dows Lake","2150","8","5"
"Glebe - Dows Lake","2150","9","5"
"Glebe - Dows Lake","2150","10","5"
"Glebe - Dows Lake","2150","11","5"
"Glebe - Dows Lake","2150","12","5"
"Hawthorne Meadows - Sheffield Glen","1200","1","5"
"Hawthorne Meadows - Sheffield Glen","1200","2","5"
"Hawthorne Meadows - Sheffield Glen","1200","3","5"
"Hawthorne Meadows - Sheffield Glen","1200","4","5"
"Hawthorne Meadows - Sheffield Glen","1200","5","5"
"Hawthorne Meadows - Sheffield Glen","1200","6","5"
"Hawthorne Meadows - Sheffield Glen","1200","7","5"
"Hawthorne Meadows - Sheffield Glen","1200","8","5"
"Hawthorne Meadows - Sheffield Glen","1200","9","5"
"Hawthorne Meadows - Sheffield Glen","1200","10","5"
"Hawthorne Meadows - Sheffield Glen","1200","11","5"
"Hawthorne Meadows - Sheffield Glen","1200","12","5"
"Lowertown","1654.44444444444","1","5"
"Lowertown","1654.44444444444","2","5"
"Lowertown","1654.44444444444","3","5"
"Lowertown","1654.44444444444","4","5"
"Lowertown","1654.44444444444","5","5"
"Lowertown","1654.44444444444","6","5"
"Lowertown","1654.44444444444","7","5"
"Lowertown","1654.44444444444","8","5"
"Lowertown","1654.44444444444","9","5"
"Lowertown","1654.44444444444","10","5"
"Lowertown","1654.44444444444","11","5"
"Lowertown","1654.44444444444","12","5"
"Ottawa East","975","1","5"
"Ottawa East","975","2","5"
"Ottawa East","975","3","5"
"Ottawa East","975","4","5"
"Ottawa East","975","5","5"
"Ottawa East","975","6","5"
"Ottawa East","975","7","5"
"Ottawa East","975","8","5"
"Ottawa East","975","9","5"
"Ottawa East","975","10","5"
"Ottawa East","975","11","5"
"Ottawa East","975","12","5"
"Overbrook - McArthur","800","1","5"
"Overbrook - McArthur","800","2","5"
"Overbrook - McArthur","800","3","5"
"Overbrook - McArthur","800","4","5"
"Overbrook - McArthur","800","5","5"
"Overbrook - McArthur","800","6","5"
"Overbrook - McArthur","800","7","5"
"Overbrook - McArthur","800","8","5"
"Overbrook - McArthur","800","9","5"
"Overbrook - McArthur","800","10","5"
"Overbrook - McArthur","800","11","5"
"Overbrook - McArthur","800","12","5"
"Sandy Hill - Ottawa East","1607.85714285714","1","5"
"Sandy Hill - Ottawa East","1607.85714285714","2","5"
"Sandy Hill - Ottawa East","1607.85714285714","3","5"
"Sandy Hill - Ottawa East","1607.85714285714","4","5"
"Sandy Hill - Ottawa East","1607.85714285714","5","5"
"Sandy Hill - Ottawa East","1607.85714285714","6","5"
"Sandy Hill - Ottawa East","1607.85714285714","7","5"
"Sandy Hill - Ottawa East","1607.85714285714","8","5"
"Sandy Hill - Ottawa East","1607.85714285714","9","5"
"Sandy Hill - Ottawa East","1607.85714285714","10","5"
"Sandy Hill - Ottawa East","1607.85714285714","11","5"
"Sandy Hill - Ottawa East","1607.85714285714","12","5"
"Vanier South","1270","1","5"
"Vanier South","1270","2","5"
"Vanier South","1270","3","5"
"Vanier South","1270","4","5"
"Vanier South","1270","5","5"
"Vanier South","1270","6","5"
"Vanier South","1270","7","5"
"Vanier South","1270","8","5"
"Vanier South","1270","9","5"
"Vanier South","1270","10","5"
"Vanier South","1270","11","5"
"Vanier South","1270","12","5"
"West Centertown","2300","1","5"
"West Centertown","2300","2","5"
"West Centertown","2300","3","5"
"West Centertown","2300","4","5"
"West Centertown","2300","5","5"
"West Centertown","2300","6","5"
"West Centertown","2300","7","5"
"West Centertown","2300","8","5"
"West Centertown","2300","9","5"
"West Centertown","2300","10","5"
"West Centertown","2300","11","5"
"West Centertown","2300","12","5"